TO_JSON(OBJECT_CONSTRUCT(*))
"{""CREATED_ON"":""2021-05-17 18:28:04.864 -0700"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""SECURITYADMIN"",""GRANT_OPTION"":true,""MODIFIED_ON"":""2021-05-17 18:28:04.864 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""ATTACH POLICY""}"
"{""CREATED_ON"":""2021-05-17 18:28:04.875 -0700"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""ACCOUNTADMIN"",""GRANT_OPTION"":true,""MODIFIED_ON"":""2021-05-17 18:28:04.876 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""CREATE ACCOUNT""}"
"{""CREATED_ON"":""2021-05-17 18:28:04.869 -0700"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""SYSADMIN"",""GRANT_OPTION"":true,""MODIFIED_ON"":""2021-05-17 18:28:04.870 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""CREATE DATABASE""}"
"{""CREATED_ON"":""2021-06-14 16:43:49.585 -0700"",""GRANTED_BY"":""SYSADMIN"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""SYSADMIN_DEV"",""GRANT_OPTION"":false,""MODIFIED_ON"":""2021-06-14 16:43:49.586 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""CREATE DATABASE""}"
"{""CREATED_ON"":""2021-05-17 18:28:04.876 -0700"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""ACCOUNTADMIN"",""GRANT_OPTION"":true,""MODIFIED_ON"":""2021-05-17 18:28:04.877 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""CREATE INTEGRATION""}"
"{""CREATED_ON"":""2021-05-17 18:28:04.863 -0700"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""SECURITYADMIN"",""GRANT_OPTION"":true,""MODIFIED_ON"":""2021-05-17 18:28:04.863 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""CREATE POLICY""}"
"{""CREATED_ON"":""2021-05-17 18:28:04.901 -0700"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""ACCOUNTADMIN"",""GRANT_OPTION"":false,""MODIFIED_ON"":""2021-05-17 18:28:04.902 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""CREATE RESOURCE MONITOR""}"
"{""CREATED_ON"":""2021-06-14 16:41:38.015 -0700"",""GRANTED_BY"":""USERADMIN"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""SECURITYADMIN_DEV"",""GRANT_OPTION"":false,""MODIFIED_ON"":""2021-06-14 16:41:38.016 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""CREATE ROLE""}"
"{""CREATED_ON"":""2021-05-17 18:28:04.861 -0700"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""USERADMIN"",""GRANT_OPTION"":true,""MODIFIED_ON"":""2021-05-17 18:28:04.862 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""CREATE ROLE""}"
"{""CREATED_ON"":""2021-05-17 18:28:04.871 -0700"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""ACCOUNTADMIN"",""GRANT_OPTION"":true,""MODIFIED_ON"":""2021-05-17 18:28:04.872 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""CREATE SHARE""}"
"{""CREATED_ON"":""2021-05-17 18:28:04.860 -0700"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""USERADMIN"",""GRANT_OPTION"":true,""MODIFIED_ON"":""2021-05-17 18:28:04.861 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""CREATE USER""}"
"{""CREATED_ON"":""2021-05-17 18:28:04.879 -0700"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""ACCOUNTADMIN"",""GRANT_OPTION"":true,""MODIFIED_ON"":""2021-05-17 18:28:04.879 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""EXECUTE TASK""}"
"{""CREATED_ON"":""2021-05-17 18:28:04.872 -0700"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""ACCOUNTADMIN"",""GRANT_OPTION"":true,""MODIFIED_ON"":""2021-05-17 18:28:04.873 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""IMPORT SHARE""}"
"{""CREATED_ON"":""2021-05-17 18:28:04.877 -0700"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""ACCOUNTADMIN"",""GRANT_OPTION"":true,""MODIFIED_ON"":""2021-05-17 18:28:04.878 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""MANAGE GLOBAL OBJECTS""}"
"{""CREATED_ON"":""2021-05-17 18:28:04.866 -0700"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""SECURITYADMIN"",""GRANT_OPTION"":true,""MODIFIED_ON"":""2021-05-17 18:28:04.866 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""MANAGE GRANTS""}"
"{""CREATED_ON"":""2021-06-14 16:42:54.212 -0700"",""GRANTED_BY"":""SECURITYADMIN"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""SECURITYADMIN_DEV"",""GRANT_OPTION"":false,""MODIFIED_ON"":""2021-06-14 16:42:54.213 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""MANAGE GRANTS""}"
"{""CREATED_ON"":""2021-06-15 15:26:38.322 -0700"",""GRANTED_BY"":""SYSADMIN_DEV"",""GRANTED_ON"":""WAREHOUSE"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""DEV_ADMINISTRATOR"",""GRANT_OPTION"":false,""MODIFIED_ON"":""2021-06-15 15:26:38.322 -0700"",""NAME"":""DEV_DATAENGINEER_WHS"",""PRIVILEGE"":""MODIFY""}"
"{""CREATED_ON"":""2021-06-15 15:26:41.481 -0700"",""GRANTED_BY"":""SYSADMIN_DEV"",""GRANTED_ON"":""WAREHOUSE"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""DEV_ADMINISTRATOR"",""GRANT_OPTION"":false,""MODIFIED_ON"":""2021-06-15 15:26:41.483 -0700"",""NAME"":""DEV_TRANSFORMATION_WHS"",""PRIVILEGE"":""MODIFY""}"
"{""CREATED_ON"":""2021-06-15 15:26:44.902 -0700"",""GRANTED_BY"":""SYSADMIN_DEV"",""GRANTED_ON"":""WAREHOUSE"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""DEV_ADMINISTRATOR"",""GRANT_OPTION"":false,""MODIFIED_ON"":""2021-06-15 15:26:44.904 -0700"",""NAME"":""DEV_REPORTING_WHS"",""PRIVILEGE"":""MODIFY""}"
"{""CREATED_ON"":""2021-06-15 15:26:42.566 -0700"",""GRANTED_BY"":""SYSADMIN_DEV"",""GRANTED_ON"":""WAREHOUSE"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""DEV_ADMINISTRATOR"",""GRANT_OPTION"":false,""MODIFIED_ON"":""2021-06-15 15:26:42.566 -0700"",""NAME"":""DEV_DATASCIENTIST_WHS"",""PRIVILEGE"":""MODIFY""}"
"{""CREATED_ON"":""2021-06-15 15:26:39.651 -0700"",""GRANTED_BY"":""SYSADMIN_DEV"",""GRANTED_ON"":""WAREHOUSE"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""DEV_ADMINISTRATOR"",""GRANT_OPTION"":false,""MODIFIED_ON"":""2021-06-15 15:26:39.652 -0700"",""NAME"":""DEV_ELT_WHS"",""PRIVILEGE"":""MODIFY""}"
"{""CREATED_ON"":""2021-05-17 18:28:04.898 -0700"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""ACCOUNTADMIN"",""GRANT_OPTION"":false,""MODIFIED_ON"":""2021-05-17 18:28:04.899 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""MODIFY""}"
"{""CREATED_ON"":""2021-06-15 15:26:41.465 -0700"",""GRANTED_BY"":""SYSADMIN_DEV"",""GRANTED_ON"":""WAREHOUSE"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""DEV_ADMINISTRATOR"",""GRANT_OPTION"":false,""MODIFIED_ON"":""2021-06-15 15:26:41.466 -0700"",""NAME"":""DEV_TRANSFORMATION_WHS"",""PRIVILEGE"":""MONITOR""}"
"{""CREATED_ON"":""2021-05-17 18:28:04.899 -0700"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""ACCOUNTADMIN"",""GRANT_OPTION"":false,""MODIFIED_ON"":""2021-05-17 18:28:04.900 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""MONITOR""}"
"{""CREATED_ON"":""2021-06-15 15:26:39.610 -0700"",""GRANTED_BY"":""SYSADMIN_DEV"",""GRANTED_ON"":""WAREHOUSE"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""DEV_ADMINISTRATOR"",""GRANT_OPTION"":false,""MODIFIED_ON"":""2021-06-15 15:26:39.611 -0700"",""NAME"":""DEV_ELT_WHS"",""PRIVILEGE"":""MONITOR""}"
"{""CREATED_ON"":""2021-06-15 15:26:42.532 -0700"",""GRANTED_BY"":""SYSADMIN_DEV"",""GRANTED_ON"":""WAREHOUSE"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""DEV_ADMINISTRATOR"",""GRANT_OPTION"":false,""MODIFIED_ON"":""2021-06-15 15:26:42.533 -0700"",""NAME"":""DEV_DATASCIENTIST_WHS"",""PRIVILEGE"":""MONITOR""}"
"{""CREATED_ON"":""2021-06-15 15:26:38.298 -0700"",""GRANTED_BY"":""SYSADMIN_DEV"",""GRANTED_ON"":""WAREHOUSE"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""DEV_ADMINISTRATOR"",""GRANT_OPTION"":false,""MODIFIED_ON"":""2021-06-15 15:26:38.299 -0700"",""NAME"":""DEV_DATAENGINEER_WHS"",""PRIVILEGE"":""MONITOR""}"
"{""CREATED_ON"":""2021-06-15 15:26:44.882 -0700"",""GRANTED_BY"":""SYSADMIN_DEV"",""GRANTED_ON"":""WAREHOUSE"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""DEV_ADMINISTRATOR"",""GRANT_OPTION"":false,""MODIFIED_ON"":""2021-06-15 15:26:44.884 -0700"",""NAME"":""DEV_REPORTING_WHS"",""PRIVILEGE"":""MONITOR""}"
"{""CREATED_ON"":""2021-05-17 18:28:04.881 -0700"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""ACCOUNTADMIN"",""GRANT_OPTION"":true,""MODIFIED_ON"":""2021-05-17 18:28:04.882 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""MONITOR EXECUTION""}"
"{""CREATED_ON"":""2021-05-17 18:28:04.885 -0700"",""GRANTED_ON"":""ACCOUNT"",""GRANTED_TO"":""ROLE"",""GRANTEE_NAME"":""ACCOUNTADMIN"",""GRANT_OPTION"":true,""MODIFIED_ON"":""2021-05-17 18:28:04.886 -0700"",""NAME"":""SCHSNZDATA"",""PRIVILEGE"":""MONITOR SECURITY""}"
